Alloys,Class,Phase
Al1Co1Cr0.16Fe1Mo0.5Ni1,0,Non-SP-SS
Al0.9Co1Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.78Ni1,0,Non-SP-SS
Al1.87Cr1Cu1Fe1Ni2,0,Non-SP-SS
Al1Co1Cr1Cu0.25Fe1Ni1Ti0.5,0,Non-SP-SS
Al1.21Co1Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co0.58Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1.58Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.84Ni1,0,Non-SP-SS
Al1Co0.53Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Cr1Fe1Mn1Ni1Ti1,0,Non-SP-SS
Al1Co0.5Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.5Ni0.5,0,Non-SP-SS
Al1.1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Al1Co1.5Cr1Fe1Mo0.5,0,Non-SP-SS
Al0.67Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,0,Non-SP-SS
Al2Cr1Cu1Fe1Ni2,0,Non-SP-SS
Al1.31Co1Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Cr1Fe1Mo0.19Ni1,0,Non-SP-SS
Fe1Co1Ni1Cr1Cu1Al2,0,Non-SP-SS
Al1.68Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Cr1Fe1Mo0.2Ni1,0,Non-SP-SS
Al1Cr1Fe1Ni0.75,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.5Ni1,0,Non-SP-SS
Co1Fe1Ni1Si0.75,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Ti1.2,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Si0.8,0,Non-SP-SS
Co1Cu7Fe1Ni1Ti3,0,Non-SP-SS
Al1Co0.29Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1.75Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo1Ni0.89,0,Non-SP-SS
Al1.2Cr1Fe1Ni1,0,Non-SP-SS
Al1.78Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Fe1Ni1Ti1,0,Non-SP-SS
Al1Co1Cr1Fe1Ni1Si0.4,0,Non-SP-SS
Be1Nb1,0,Non-SP-SS
Al1.8Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.2Cr1Cu1Fe1Ni2,0,Non-SP-SS
Al2Co1Cr1Cu0.5Fe1Ni1,0,Non-SP-SS
Al1Cr1Cu1Fe1Ni1Zn1,0,Non-SP-SS
Al1.5Co1Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Cr1Fe1Mo0.378Ni1,0,Non-SP-SS
Co1Cr1Fe1Ga1Ni1,0,Non-SP-SS
Al1.86Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.62Ni1,0,Non-SP-SS
Al1.87Co1Cr1Fe1Ni1,0,Non-SP-SS
Be1Ta1,0,Non-SP-SS
Al1Cu1Ni1,0,Non-SP-SS
Co1Fe1Ga1Mn1Ni1,0,Non-SP-SS
Cr1Fe1Ni1Ti1,0,Non-SP-SS
